1/25/2017 2:40:05 AM;Blatant price-gouging from $AAPL and Scrooge McDuck level of $$$ in their vault nullifies makes complaint against $QCOM laughable.;
1/25/2017 2:35:20 AM;$AAPL Instrument getting close to the 123.00 target area, should see 3 waves back from there.#elliottwave $SPX;
1/25/2017 2:26:56 AM;$AAPL interesting price action today, look for move up tomorrow.;
1/25/2017 2:10:14 AM;$AAPL hahaha Mr. Big Shot doesn&#39;t know his earnings dates ;-) @ruffryders;
1/25/2017 2:07:27 AM;$AAPL analysts on Estimize are expecting -1.26% YoY EPS growth for Q1, up from -14.80% in Q4 [Reporting 01/31 AMC] \n http://www.estimize.com/intro/aapl?utm_content=AAPL&amp;utm_medium=eps_update&amp;utm_source=stocktwits#chart=historical;
1/25/2017 2:06:22 AM;$AAPL has been pinned here;
1/25/2017 1:53:31 AM;$FIT $AAPL $TSLA $AMD Hold the door! HODOR!;rompnstompy
1/25/2017 1:53:14 AM;$AAPL who&#39;s puppet mastering this price action2day? \uD83E\uDD14\uD83E\uDD14;kaluhiokalani71
1/25/2017 1:49:28 AM;@Boredfangy sorry I thought you were talking about $WATT . If you thought $AAPL was volatile, check that out;Rdub_Trader
1/25/2017 1:42:54 AM;$AAPL laughing out loud;mahatmaghandi
1/25/2017 1:42:11 AM;$WATT $AAPL has filed its own patents to throw off the scent of working w/ anyone else, these macrumor articles dont change anything;Rdub_Trader
1/25/2017 1:40:29 AM;$WATT $AAPL is obviously the T1 partner, $AAPL would like to do nothing but shoot down any rumors;Rdub_Trader
1/25/2017 1:33:55 AM;$AAPL it&#39;s that 120 open interest that&#39;s killings this stock yuk \uD83D\uDE21\uD83D\uDE21;impulsechaser
1/25/2017 1:24:37 AM;Folks remember I told you last week $GPRO had bottomed $NFLX $TSLA $AAPL $AMZN $FB $GOOG $BOBE $GOOGL $IBM $MSFT $JNUG $NUGT $MU $NVDA $S $F;OptionWhale
1/25/2017 1:06:00 AM;America\u2019s Big Banks Enter the Marijuana Industry\n\n$JPM, $BAC,$C,$WFC ,$MCD,$SBUX,$AAPL,$WFM  http://www.livetradingnews.com/americas-big-banks-enter-marijuana-industry-27903.html#.WIf5rPkrKM8;PaulEbeling
1/25/2017 12:53:17 AM;$AAPL anyone think of straddling this? It&#39;s been pinned at 120 for the past few days killing IV;Boredfangy
1/25/2017 12:50:26 AM;$AAPL is this the same analyst that downgraded $AAPL;ConsistencyKey
1/25/2017 12:47:42 AM;$SPY $qqq $iwm $aapl $FB all the pros are very bullish on ST;askorbik
1/25/2017 12:44:32 AM;$AAPL got this weird gut feeling this will breakout tomorrow;MAS1271
1/25/2017 12:41:34 AM;$AAPL RSI rolling. Top might be in.;matrixman68
1/25/2017 12:37:53 AM;$AAPL I am going out in a limb and predict it finishes at $120 tomorrow \uD83D\uDE02\uD83D\uDE02\uD83D\uDE02;JP91
1/25/2017 12:30:44 AM;Estimize revenue expectations are 0.25% higher than that of Wall Street for $AAPL Q1 [Reporting 01/31 AMC] \n http://www.estimize.com/intro/aapl?utm_content=AAPL&amp;utm_medium=eps_update&amp;utm_source=stocktwits#chart=historical;EstimizeAlerts
1/25/2017 12:28:17 AM;$AAPL Apple will finally help you find missing AirPods http://finance.yahoo.com/news/apple-finally-help-missing-airpods-193748057.html;Thankfulness
1/25/2017 12:23:37 AM;Can&#39;t even stay positive after - hours, so rough to see. Sentiment in the toilet as well $AAPL can&#39;t believe it didn&#39;t rally today.;ASM
1/25/2017 12:11:17 AM;@BuffettWarren are they building 2500 smart homes? How is this incoherent dog whistle relevant to $AAPL;TheBrain
1/25/2017 12:06:37 AM;$AAPL ...Israel Plans 2500 New Settlement Homes, Signaling New Era of Support from Trump....Then if Arabs get upset it will be US fault??;BuffettWarren
1/24/2017 11:59:24 PM;$AAPL strong recovery from bogus DG today;ThePants
1/24/2017 11:57:02 PM;$AAPL Bad News for Apple: Plenty of People Think the iPhone 6s Is Good Enough http://www.fool.com/investing/2017/01/24/bad-news-for-apple-plenty-of-people-think-the-ipho.aspx;finzine
1/24/2017 11:54:29 PM;$NXTD do I see $AAPL or $NKE or $SSNLF making any offers for contracts. That would move this mofo to the roof;kittyjuu
1/24/2017 11:46:35 PM;$AAPL why did they move ER day anyway?;Stealrail16
1/24/2017 11:45:40 PM;$AAPL;Kbtarl
1/24/2017 11:40:28 PM;$AAPL Form 10b sales.;Moondog
1/24/2017 11:36:43 PM;How to Think About the Race to Self-Driving Cars $INTC $GOOG $AAPL $TSLA $GM $DLPH http://bit.ly/240117INTC;WhoTrades
1/24/2017 11:34:52 PM;Apple Inc.&#39;s Chief Executive Officer just disposed of 30,000 shares  http://www.conferencecalltranscripts.org/4/summary2/?id=3411867 $AAPL;cctranscripts
1/24/2017 11:28:19 PM;$AAPL Insiders selling....folks!!;BuffettWarren
1/24/2017 11:25:59 PM;$AAPL Apple CEO Tim Cook sold 30,000 shares of Apple stock this week, valued at $3.6 million based on the company&#39;s stock price of $120;BuffettWarren
